id,title,description,link,image_link,availability,price,brand,condition,gtin,mpn,identifier_exists,google_product_category,product_type
M20,Landi M20 Mobile Payment Terminal,"4G handheld payment terminal with built-in printer, 32GB.",https://nahamtech.org/product/landi-m20,https://img.nahamtech.org/products/cashier/landi-m20-1.jpg,in_stock,750.00 SAR,Landi,new,,VN02000003 M20,yes,Electronics > POS Equipment,POS > Mobile Terminals
TM-M30II-112A0,Epson TM-M30II Thermal Receipt Printer (Bluetooth),"80mm thermal receipt printer with USB, Ethernet and Bluetooth.",https://nahamtech.org/product/epson-tmm30ii-bt,https://img.nahamtech.org/products/cashier/Epson-TM-M30II-112A0_TM-M30II-122A0.jpg,in_stock,1100.00 SAR,Epson,new,,TM-M30II (112A0),yes,Electronics > Print & Scan > Printers,Printers > Receipt Printers
UP301B,UPOS UP301B Portable 3-inch Thermal Printer (Bluetooth),"Portable thermal receipt printer, 3-inch, USB and Bluetooth.",https://nahamtech.org/product/upos-up301b,https://img.nahamtech.org/products/cashier/UP301B.jpg,in_stock,250.00 SAR,UPOS,new,,UP301B,yes,Electronics > Print & Scan > Printers,Printers > Mobile Printers
UP401B,UPOS UP401B Portable 4-inch Thermal Printer (Bluetooth),"Portable thermal receipt/label printer, 4-inch, USB and Bluetooth.",https://nahamtech.org/product/upos-up401b,https://img.nahamtech.org/products/cashier/UP401B.jpg,in_stock,450.00 SAR,UPOS,new,,UP401B,yes,Electronics > Print & Scan > Printers,Printers > Mobile Printers
TQ30,ENOTEQ TQ30 Electronic Barcode Label Scale 30kg,"Label printing electronic scale, 30kg capacity, built-in barcode.",https://nahamtech.org/product/enoteq-tq30,https://img.nahamtech.org/products/cashier/ENOTEQ.jpg,in_stock,750.00 SAR,ENOTEQ,new,,TQ30,yes,Electronics > POS Equipment,POS > Scales
DS-MDT201,Hikvision DS-MDT201 Handheld Mobile Computer,"5.5-inch handheld, 64GB/4GB, Android, barcode scanner.",https://nahamtech.org/product/hikvision-mdt201,https://img.nahamtech.org/products/inventory-and-money-counters/Hikvision-DS-MDT201.jpg,in_stock,868.60 SAR,Hikvision,new,,DS-MDT201,yes,Electronics > Barcode Scanners,Inventory > Handheld Computers
DS-MDT202,Hikvision DS-MDT202 Handheld Mobile Computer,Android 14 handheld terminal with barcode reader and camera.,https://nahamtech.org/product/hikvision-mdt202,https://img.nahamtech.org/products/inventory-and-money-counters/Hikvision-DS-MDT202.jpg,out_of_stock,1100.00 SAR,Hikvision,new,,DS-MDT202,yes,Electronics > Barcode Scanners,Inventory > Handheld Computers
ST-4000,SEMTOM ST-4000 Money Counter & Sorter (Dual CIS),Dual CIS money counter and sorter with two pockets.,https://nahamtech.org/product/semtom-st4000,https://img.nahamtech.org/products/inventory-and-money-counters/SEMTOM-ST-4000.png,out_of_stock,3695.00 SAR,SEMTOM,new,,ST-4000,yes,Electronics > Cash Handling,Inventory > Money Counters
PRO-V2000,PRO-V2000 Money Counter (UV/MG Counterfeit Detection),Automatic money counter with UV and MG counterfeit detection.,https://nahamtech.org/product/prov-2000,https://img.nahamtech.org/products/inventory-and-money-counters/pro-v-2000_1.jpeg,in_stock,500.00 SAR,PRO-V,new,,PRO-V2000,yes,Electronics > Cash Handling,Inventory > Money Counters
PRO-V420,"PRO-V 420 Cash Drawer (Medium, 5 slots)",Medium-sized POS cash drawer with 5 bill compartments.,https://nahamtech.org/product/prov-420,https://img.nahamtech.org/products/cashier/pro-v-cash-drawer_1.jpg,in_stock,160.00 SAR,PRO-V,new,,PRO-V420,yes,Electronics > POS Equipment,POS > Cash Drawers
PRO-V4042,"PRO-V 4042 Cash Drawer (Medium, 5 slots)",Medium-sized POS cash drawer with 5 bill compartments.,https://nahamtech.org/product/prov-4042,https://img.nahamtech.org/products/cashier/pro-v-cash-drawer_1.jpg,in_stock,120.00 SAR,PRO-V,new,,PRO-V4042,yes,Electronics > POS Equipment,POS > Cash Drawers
PRO-V460,"PRO-V 460 Cash Drawer (Large, 5 slots)",Large POS cash drawer with 5 bill compartments.,https://nahamtech.org/product/prov-460,https://img.nahamtech.org/products/cashier/pro-v-cash-drawer_1.jpg,in_stock,220.00 SAR,PRO-V,new,,PRO-V460,yes,Electronics > POS Equipment,POS > Cash Drawers
APEXA-X,POSBANK APEXA X Customer Display 9.7 inch,9.7-inch customer-facing display for POSBANK APEXA POS.,https://nahamtech.org/product/posbank-apexa-x-display,https://img.nahamtech.org/products/cashier/APEXA-TL-Customer-Monitor.jpg,in_stock,1000.00 SAR,POSBANK,new,,"APEXA X - 9.7""",yes,Electronics > POS Equipment,POS > Cashier Systems
P06060049,SUNMI V2s Handheld POS with Label Printer (2GB/16GB),"Handheld POS terminal with label printer, 4G and NFC.",https://nahamtech.org/product/sunmi-v2s-label,https://img.nahamtech.org/products/cashier/SUNMI-V2s.jpg,in_stock,740.00 SAR,SUNMI,new,,P06060049,yes,Electronics > POS Equipment,POS > Mobile Terminals
OT-WL06-327,Epson OT-WL06 WiFi Dongle Dual Band,Wireless LAN USB adapter for Epson printers.,https://nahamtech.org/product/epson-ot-wl06,https://img.nahamtech.org/products/cashier/Epson-OT-WL06-Wifi-Dongle.jpg,in_stock,350.00 SAR,Epson,new,,OT-WL06-327,yes,Electronics > Networking > Wireless Adapters,Accessories
GA-E200IW,Gainscha GA-E200IW Thermal Receipt Printer (WiFi),"80mm thermal receipt printer with USB, Ethernet and WiFi.",https://nahamtech.org/product/gainscha-ga-e200iw,https://img.nahamtech.org/products/cashier/Gainscha-GA-E200IB_GA-E200IW.jpeg,in_stock,350.00 SAR,Gainscha,new,,GA-E200IW,yes,Electronics > Print & Scan > Printers,Printers > Receipt Printers
GA-E200IB,Gainscha GA-E200IB Thermal Receipt Printer (Bluetooth),"80mm thermal receipt printer with USB, Ethernet and Bluetooth.",https://nahamtech.org/product/gainscha-ga-e200ib,https://img.nahamtech.org/products/cashier/Gainscha-GA-E200IB_GA-E200IW.jpeg,in_stock,350.00 SAR,Gainscha,new,,GA-E200IB,yes,Electronics > Print & Scan > Printers,Printers > Receipt Printers
TM-M30II-122A0,Epson TM-M30II Thermal Receipt Printer (Ethernet),80mm thermal receipt printer with USB and Ethernet.,https://nahamtech.org/product/epson-tmm30ii-eth,https://img.nahamtech.org/products/cashier/Epson-TM-M30II-112A0_TM-M30II-122A0.jpg,in_stock,850.00 SAR,Epson,new,,TM-M30II (122A0),yes,Electronics > Print & Scan > Printers,Printers > Receipt Printers
TM-T20III-011A0,Epson TM-T20III Thermal Receipt Printer (USB),80mm thermal receipt printer with USB.,https://nahamtech.org/product/epson-tmt20iii-usb,https://img.nahamtech.org/products/cashier/Epson-TM-T20III-011A0-012A0.jpg,in_stock,500.00 SAR,Epson,new,,TM-T20III (011A0),yes,Electronics > Print & Scan > Printers,Printers > Receipt Printers
TM-T20III-012A0,Epson TM-T20III Thermal Receipt Printer (USB + Ethernet),80mm thermal receipt printer with USB and Ethernet.,https://nahamtech.org/product/epson-tmt20iii-eth,https://img.nahamtech.org/products/cashier/Epson-TM-T20III-011A0-012A0.jpg,in_stock,670.00 SAR,Epson,new,,TM-T20III (012A0),yes,Electronics > Print & Scan > Printers,Printers > Receipt Printers
PRO-V326U,PRO-V326U Thermal Receipt Printer 80mm,Compact 80mm thermal receipt printer.,https://nahamtech.org/product/prov-326u,https://img.nahamtech.org/products/cashier/PRO-V326U-80mm.jpg,in_stock,160.00 SAR,PRO-V,new,,PRO-V326U,yes,Electronics > Print & Scan > Printers,Printers > Receipt Printers
PRO-V04BU,PRO-V04BU Portable 4-inch Label Printer (Bluetooth),Portable 4-inch thermal label printer with USB and Bluetooth.,https://nahamtech.org/product/prov-04bu,https://img.nahamtech.org/products/cashier/PRO-V04BU.jpg,in_stock,550.00 SAR,PRO-V,new,,PRO-V04BU,yes,Electronics > Print & Scan > Printers,Printers > Mobile Printers
PRO-V300BU,PRO-V300BU Portable 3-inch Receipt Printer (Bluetooth),Portable 3-inch thermal receipt printer with USB and Bluetooth.,https://nahamtech.org/product/prov-300bu,https://img.nahamtech.org/products/cashier/PRO-V300BU.jpg,in_stock,350.00 SAR,PRO-V,new,,PRO-V300BU,yes,Electronics > Print & Scan > Printers,Printers > Mobile Printers
PRO-V326USE,PRO-V326USE Thermal Receipt Printer (Network),80mm thermal receipt printer with multi-port network connectivity.,https://nahamtech.org/product/prov-326use,https://img.nahamtech.org/products/cashier/PRO-V326USE.jpg,in_stock,180.00 SAR,PRO-V,new,,PRO-V326USE,yes,Electronics > Print & Scan > Printers,Printers > Receipt Printers
